timestamp,kW,kW_scaled
2022-09-01 00:55:31,0.465,13.287671232876717
2022-09-01 00:56:00,0.516,20.27397260273973
2022-09-01 00:56:31,0.469,13.835616438356162
2022-09-01 00:57:00,0.511,19.589041095890416
2022-09-01 00:57:30,0.477,14.931506849315067
2022-09-01 00:58:01,0.516,20.27397260273973
2022-09-01 00:58:30,0.474,14.520547945205477
2022-09-01 00:59:01,0.512,19.726027397260278
2022-09-01 00:59:31,0.467,13.561643835616444
2022-09-01 01:00:00,0.55,24.931506849315078
2022-09-01 01:00:30,0.474,14.520547945205477
2022-09-01 01:01:01,0.502,18.356164383561648
2022-09-01 01:01:31,0.466,13.42465753424658
2022-09-01 01:02:00,0.541,23.69863013698631
2022-09-01 01:02:31,0.471,14.109589041095887
2022-09-01 01:03:00,0.515,20.136986301369866
2022-09-01 01:03:31,0.463,13.01369863013699
2022-09-01 01:04:01,0.475,14.65753424657534
2022-09-01 01:04:30,0.469,13.835616438356162
2022-09-01 01:05:01,0.534,22.739726027397268
2022-09-01 01:05:31,0.471,14.109589041095887
2022-09-01 01:06:00,0.523,21.23287671232877
2022-09-01 01:06:31,0.471,14.109589041095887
2022-09-01 01:07:00,0.457,12.19178082191781
2022-09-01 01:07:31,0.462,12.876712328767127
2022-09-01 01:08:01,0.525,21.5068493150685
2022-09-01 01:08:30,0.471,14.109589041095887
2022-09-01 01:09:01,0.489,16.575342465753423
2022-09-01 01:09:31,0.47,13.972602739726025
2022-09-01 01:10:00,0.527,21.780821917808225
2022-09-01 01:10:30,0.477,14.931506849315067
2022-09-01 01:11:01,0.528,21.917808219178088
2022-09-01 01:11:31,0.471,14.109589041095887
2022-09-01 01:12:00,0.527,21.780821917808225
2022-09-01 01:12:31,0.469,13.835616438356162
2022-09-01 01:13:01,0.478,15.06849315068493
2022-09-01 01:13:31,0.474,14.520547945205477
2022-09-01 01:14:01,0.525,21.5068493150685
2022-09-01 01:14:31,0.452,11.506849315068495
2022-09-01 01:15:00,0.528,21.917808219178088
2022-09-01 01:15:31,0.454,11.780821917808222
2022-09-01 01:16:00,0.518,20.547945205479458
2022-09-01 01:16:31,0.476,14.794520547945204
2022-09-01 01:17:00,0.469,13.835616438356162
2022-09-01 01:17:30,0.472,14.24657534246575
2022-09-01 01:18:01,0.47,13.972602739726025
2022-09-01 01:18:31,0.466,13.42465753424658
2022-09-01 01:19:00,0.528,21.917808219178088
